Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
Kepler-1408 b,0.001,0.001,0.009,0.08,0.00201,1994,1677,2.902,2.9979,4.392,10.7,535.05,6170,4.25,TRUE,nexsci
Kepler-1409 b,0.001,0,0.004,0.09,0.00352,2133,1794,3.004,0.7649,1.1779,13.2,694.89,5160,4.57,TRUE,nexsci
Kepler-140 b,0.001,0.001,0.006,0.14,0.0101,1866,1569,3.082,3.2543,2.9869,11.7,583.86,6077,4.27,TRUE,nexsci
Kepler-140 c,0,0,0.004,0.16,0.0123,615,517,3.07,91.3533,8.517,11.7,583.86,6077,4.27,TRUE,nexsci
Kepler-1410 b,0,0,0.004,0.16,0.012,360,303,3.071,60.8662,4.53,12.8,367,4092,4.67,TRUE,nexsci
EPIC 206215704 b,,,,0.08,0.0021,,,2.91,2.2537,0.984,12.8,109.89,3467,4.99,TRUE,nexsci
Kepler-1411 b,0,0,0.003,0.25,0.0263,493,414,3.011,86.1151,6.058,14.2,1660.48,5664,4.49,TRUE,nexsci
Kepler-1412 b,0,0,0.005,0.07,0.00157,1770,1488,2.852,3.6146,3.188,11.8,755.68,5880,4.25,TRUE,nexsci
Kepler-1413 b,0,0,0.003,0.16,0.0125,816,686,3.072,13.183,3.594,14.2,1167.49,5196,4.57,TRUE,nexsci
Kepler-1414 b,0,0,0.003,0.11,0.00642,1191,1002,3.119,3.5158,1.364,12.7,570.84,4951,4.59,TRUE,nexsci
Kepler-1415 b,0.001,0,0.003,0.12,0.00696,2307,1940,3.115,0.6364,1.0604,14,1043.56,5267,4.54,TRUE,nexsci
Kepler-1416 b,0.001,0,0.006,0.08,0.00193,2309,1942,2.885,1.4951,3.43,12.5,949.59,6019,4.35,TRUE,nexsci
Kepler-1417 b,0,0,0.004,0.09,0.00306,894,752,2.981,20.3505,7.225,12.3,991.85,5839,4.43,TRUE,nexsci
Kepler-1418 b,0,0,0.004,0.15,0.0107,641,539,3.083,22.4764,3.56,12.8,499,4770,4.61,TRUE,nexsci
Kepler-1419 b,0,0,0.003,0.26,0.0269,683,574,3.011,42.5216,5.723,14.1,1498.58,5796,4.43,TRUE,nexsci
Kepler-141 b,0,0,0.011,0.06,0.00081,1267,1066,2.718,3.1077,2.274,11.4,301.18,4910,4.57,TRUE,nexsci
Kepler-141 c,0,0.001,0.008,0.13,0.00809,967,813,3.101,7.0106,2.986,11.4,301.18,4910,4.57,TRUE,nexsci
Kepler-1420 b,0,0,0.002,0.11,0.00687,1021,858,3.117,6.6996,2.831,13.8,1054.37,5187,4.57,TRUE,nexsci
Kepler-1421 b,0,0,0.004,0.08,0.00236,1568,1319,2.929,6.9131,4.768,11.6,783.4,6335,4.23,TRUE,nexsci
Kepler-1422 b,0,0,0.002,0.18,0.0149,1017,856,3.057,18.6052,6.829,14.4,2465.84,6194,4.32,TRUE,nexsci
Kepler-1423 b,0,0,0.003,0.1,0.00377,616,518,3.015,23.9554,3.185,12.4,449,4939,4.59,TRUE,nexsci
Kepler-1424 b,0,0,0.003,0.1,0.00521,803,675,3.085,29.6092,7.433,12.1,661.42,5838,4.39,TRUE,nexsci
Kepler-1425 b,0,0,0.007,0.08,0.00245,992,834,2.935,14.4541,7.095,11.9,863.87,5718,4.47,TRUE,nexsci
Kepler-1426 b,0,0,0.002,0.14,0.00961,980,824,3.091,14.2563,4.796,13.6,1697.81,5831,4.43,TRUE,nexsci
Kepler-1427 b,0.001,0,0.003,0.1,0.0043,2379,2000,3.045,0.969,1.517,13.7,1220,5793,4.44,TRUE,nexsci
Kepler-1428 b,0,0,0.004,0.15,0.0105,1271,1069,3.087,10.6761,4.549,12.1,1530.32,6184,4.28,TRUE,nexsci
Kepler-1429 b,0,0,0.002,0.12,0.00696,1493,1255,3.115,4.4849,2.752,13.4,1214.09,5902,4.4,TRUE,nexsci
Kepler-142 b,0.003,0.002,0.008,0.18,0.0145,2092,1759,3.055,2.0242,2.5008,11.8,548.69,5790,4.26,TRUE,nexsci
Kepler-142 c,0.002,0.002,0.011,0.26,0.0269,1567,1318,3.011,4.7617,3.3059,11.8,548.69,5790,4.26,TRUE,nexsci
Kepler-142 d,0,0,0.006,0.19,0.0167,761,640,3.046,41.8091,7.797,11.8,548.69,5790,4.26,TRUE,nexsci
Kepler-1430 b,0,0,0.004,0.1,0.00553,1338,1125,3.095,2.4605,1.861,12.9,875.52,4796,4.62,TRUE,nexsci
Kepler-1431 b,0,0,0.003,0.13,0.00869,1327,1116,3.099,5.866,3.978,13.8,1623.24,5806,4.42,TRUE,nexsci
Kepler-1432 b,0,0,0.002,0.2,0.0175,893,751,3.044,23.9109,4.996,14,2171.87,6031,4.37,TRUE,nexsci
Kepler-1433 b,0,0,0.002,0.14,0.00961,1679,1412,3.091,4.1359,2.789,13.5,1328,6097,4.34,TRUE,nexsci
Kepler-1434 b,0,0,0.003,0.1,0.00444,1723,1449,3.05,8.0533,5.382,10.8,775.53,6291,3.98,TRUE,nexsci
Kepler-1435 b,0,0,0.005,0.08,0.00178,1792,1507,2.872,4.4534,3.796,11.7,704.21,6356,4.28,TRUE,nexsci
Kepler-1436 b,0,0,0.003,0.12,0.00714,1187,998,3.112,9.7057,7.702,13.4,2530.62,5972,4.39,TRUE,nexsci
Kepler-1437 b,0,0,0.003,0.12,0.00771,980,824,3.109,10.9295,6.062,13.9,2101.69,5557,4.51,TRUE,nexsci
Kepler-1438 b,0,0,0.003,0.08,0.00245,1670,1405,2.935,2.3194,1.591,13.1,1154.13,5530,4.46,TRUE,nexsci
Kepler-1439 b,0,0,0.008,0.13,0.00859,552,464,3.1,8.0739,2.455,12.7,225.39,3578,4.83,TRUE,nexsci
Kepler-143 b,0,0,0.002,0.21,0.0201,1097,923,3.033,16.0076,0.997,12.2,809.47,5848,4.2,TRUE,nexsci
Kepler-143 c,0,0.001,0.007,0.3,0.0355,919,773,2.987,27.0825,5.103,12.2,809.47,5848,4.2,TRUE,nexsci
Kepler-1440 b,0,0,0.003,0.11,0.00669,671,565,3.121,39.8595,8.06,12.6,1115.35,5698,4.46,TRUE,nexsci
Kepler-1441 b,0,0,0.003,0.12,0.00714,687,578,3.112,39.442,7.285,12.7,1110.48,5802,4.45,TRUE,nexsci
Kepler-1442 b,0,0.001,0.016,0.35,0.0461,692,582,2.967,81.4163,12.1444,11,608.68,6394,4.25,TRUE,nexsci
Kepler-1443 b,0.001,0,0.006,0.09,0.00274,2119,1782,2.953,2.4181,2.144,11,593.65,6289,4.3,TRUE,nexsci
Kepler-1444 b,0,0,0.01,0.19,0.017,761,640,3.049,33.4204,5.0911,10.8,319.68,5810,4.4,TRUE,nexsci
Kepler-1445 b,0,0,0.006,0.09,0.00264,1286,1081,2.947,10.6005,4.509,11.1,506.36,6150,4.28,TRUE,nexsci
Kepler-1446 b,0.003,0.001,0.021,0.07,0.0015,2035,1711,2.844,0.69,1.2135,10.2,152.07,4865,4.6,TRUE,nexsci
Kepler-1447 b,0,0,0.005,0.26,0.0275,601,505,3.007,56.6747,5.516,13.1,890.3,5722,4.47,TRUE,nexsci
Kepler-1448 b,0,0,0.003,0.14,0.0101,982,825,3.082,12.2707,3.106,12.9,768.9,5774,4.49,TRUE,nexsci
Kepler-1449 b,0,0,0.003,0.15,0.0109,1049,882,3.079,13.2275,6.356,13.6,2006.48,5979,4.39,TRUE,nexsci
Kepler-144 b,0,0,0.005,0.12,0.00733,1510,1270,3.108,5.8853,1.905,10.8,384.92,6075,4.29,TRUE,nexsci
Kepler-144 c,0,0,0.004,0.12,0.00752,1265,1064,3.112,10.1047,2.3195,10.8,384.92,6075,4.29,TRUE,nexsci
Kepler-1450 b,0,0,0.004,0.15,0.0112,437,367,3.074,54.5094,5.125,12.9,505.83,4524,4.63,TRUE,nexsci
Kepler-1451 b,0,0,0.005,0.3,0.0352,720,605,2.989,35.6222,5.146,13.7,1058.72,5782,4.45,TRUE,nexsci
Kepler-1452 b,0,0,0.003,0.24,0.0244,967,813,3.018,42.9138,5.227,11.6,996.32,6101,3.95,TRUE,nexsci
Kepler-1453 b,0,0,0.003,0.24,0.0239,615,517,3.019,47.1612,4.059,14,1196.04,5665,4.48,TRUE,nexsci
Kepler-1454 b,0,0,0.004,0.17,0.0132,586,493,3.064,47.0319,5.906,13.2,780.57,5448,4.53,TRUE,nexsci
Kepler-1455 b,0,0,0.005,0.19,0.0167,390,328,3.046,49.2768,3.787,12.9,357.62,4075,4.68,TRUE,nexsci
Kepler-1456 b,0,0,0.004,0.1,0.00489,568,477,3.066,18.1374,3.55,12.7,370.31,4231,4.67,TRUE,nexsci
Kepler-1457 b,0,0,0.005,0.18,0.0145,654,550,3.055,51.111,7.987,12.5,889.88,5866,4.43,TRUE,nexsci
Kepler-1458 b,0,0,0.006,0.25,0.0253,629,529,3.015,47.9873,4.756,12.5,544.45,5653,4.48,TRUE,nexsci
Kepler-1459 b,0,0,0.004,0.12,0.00761,448,377,3.11,62.8692,6.842,12.4,455.48,4828,4.61,TRUE,nexsci
Kepler-145 b,0,0.001,0.001,0.24,0.117,1140,958,3.717,22.951,4.4814,10.6,566.85,6022,4.02,TRUE,nexsci
Kepler-145 c,0,0.002,0.003,0.39,0.25,925,778,3.621,42.882,9.7471,10.6,566.85,6022,4.02,TRUE,nexsci
